Samsung 980 Pro,170,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,91,1000,0.091,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,62,1000,0.062,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,90,1000,0.09,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,168,2000,0.084,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,310,4000,0.077,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,69,1000,0.069,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,65,2000,0.032,HDD 7200,256,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,70,1000,0.07,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,159,2000,0.079,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,122,2000,0.061,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,75,1000,0.075,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,60,500,0.12,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Intel 750,249,1200,2.074,SSD,0,PCIe,PCIe x4
Western Digital Black SN770,132,2000,0.066,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,75,1000,0.075,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital Black SN850X,85,1000,0.085,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,62,1000,0.062,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,115,2000,0.057,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,110,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,85,4000,0.021,HDD 5400,256,3.5,SATA 6.0 Gb/s
Crucial P3,45,500,0.09,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,69,1000,0.069,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,296,4000,0.074,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,1200,8000,0.15,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,500,4000,0.125,SSD,0,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,400,22000,0.018,HDD 7200,512,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,43,1000,0.042,HDD 7200,64,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,160,2000,0.08,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,39,512,0.076,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP400,1352,8000,0.169,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,150,2000,0.075,SSD,2048,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,115,2000,0.057,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,235,4000,0.059,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0,80,1000,0.08,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,49,1000,0.049,HDD 7200,64,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,500,8000,0.063,SSD,0,2.5,SATA 6.0 Gb/s
Kingston NV2,44,500,0.088,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,183,2000,0.091,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,80,1000,0.08,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,550,24000,0.023,HDD 7200,512,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,290,4000,0.072,SSD,4096,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,107,1000,0.107,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,106,2000,0.053,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,80,1000,0.08,SSD,1024,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,110,8000,0.014,HDD 5400,256,3.5,SATA 6.0 Gb/s
Kingston KC3000,162,2048,0.079,SSD,0,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,300,2000,0.15,SSD,0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 Pro w/Heatsink,330,4000,0.082,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,117,2000,0.058,SSD,0,M.2-2280,M.2 PCIe 3.0 X4
