Corsair Vengeance LPX 16 GB,44,"3,200",2x8,2.749,Black / Yellow,10
Corsair Vengeance 32 GB,110,"5,600",2x16,3.437,Black,12.857
G.Skill Trident Z5 RGB 32 GB,118,"6,000",2x16,3.687,Black,12
Corsair Vengeance RGB Pro 32 GB,100,"3,600",2x16,3.125,Black,10
G.Skill Trident Z5 RGB 64 GB,218,"6,400",2x32,3.406,Black / Silver,10
G.Skill Flare X5 32 GB,107,"6,000",2x16,3.333,Black,12
Corsair Vengeance LPX 32 GB,82,"3,600",2x16,2.562,Black / Yellow,10
Corsair Vengeance RGB 32 GB,128,"6,000",2x16,4,White,12
TEAMGROUP T-Force Delta RGB 32 GB,110,"6,000",2x16,3.437,White,10
Corsair Vengeance RGB Pro 16 GB,56,"3,200",2x8,3.499,Black,10
Corsair Vengeance 32 GB,128,"6,000",2x16,4,Black / Gray,10
Corsair Vengeance RGB 32 GB,120,"6,000",2x16,3.75,Black,13.333
TEAMGROUP T-Force Delta RGB 32 GB,110,"6,000",2x16,3.437,Black,10
Corsair Vengeance 16 GB,70,"5,200",2x8,4.374,Black,15.385
Corsair Dominator Platinum 32 GB,1675,"2,666",4x8,52.327,Black / Silver,11.253
Corsair Vengeance LPX 16 GB,44,"3,600",2x8,2.749,Black,10
G.Skill Ripjaws V 32 GB,70,"3,200",2x16,2.187,Black,10
Silicon Power GAMING 16 GB,36,"3,200",2x8,2.248,Black / Gray,10
G.Skill Ripjaws S5 32 GB,115,"6,000",2x16,3.593,Black,10
Corsair Vengeance 64 GB,170,"5,200",2x32,2.656,Black,15.385
G.Skill Trident Z5 Neo RGB 32 GB,118,"6,000",2x16,3.687,Black,10
Corsair Vengeance RGB Pro SL 32 GB,95,"3,600",2x16,2.968,White / Black,10
Corsair Vengeance RGB 32 GB,118,"6,000",2x16,3.687,Black,12
Corsair Vengeance LPX 32 GB,77,"3,200",2x16,2.406,Black / Yellow,10
G.Skill Flare X5 32 GB,107,"6,000",2x16,3.343,Black,10
TEAMGROUP T-Force Vulcan Z 16 GB,39,"3,200",2x8,2.437,Black,10
Corsair Vengeance RGB Pro 16 GB,63,"3,200",2x8,3.937,White,10
G.Skill Trident Z5 Neo 64 GB,210,"6,000",2x32,3.281,Black / Silver,10
Corsair Vengeance 32 GB,103,"5,200",2x16,3.218,Black,15.385
G.Skill Ripjaws V 16 GB,37,"3,200",2x8,2.284,Black,10
Silicon Power GAMING 32 GB,57,"3,200",2x16,1.78,Black,10
Corsair Dominator Titanium 64 GB,320,"6,600",2x32,5,White,9.697
Kingston FURY Beast 16 GB,45,"3,200",2x8,2.812,Black,10
Corsair Vengeance RGB 128 GB,440,"5,600",4x32,3.437,Black,14.286
G.Skill Trident Z5 RGB 32 GB,135,"7,200",2x16,4.218,Black,9.444
Corsair Vengeance RGB 32 GB,120,"6,000",2x16,3.75,Gray,10
TEAMGROUP T-Force Vulcan Z 32 GB,64,"3,600",2x16,2,Black,10
Silicon Power Value Gaming 32 GB,93,"6,000",2x16,2.905,Black,10
G.Skill Ripjaws V 16 GB,50,"3,600",2x8,3.124,Black,8.889
TEAMGROUP T-Force Delta RGB 32 GB,95,"6,000",2x16,2.968,White,12.667
G.Skill Trident Z RGB 32 GB,116,"3,200",2x16,3.623,Black,10
Corsair Vengeance RGB 64 GB,215,"6,000",2x32,3.359,Black,10
Corsair Vengeance 64 GB,240,"6,400",2x32,3.75,Black / Gray,10
TEAMGROUP T-Force Delta RGB 32 GB,76,"3,600",2x16,2.374,White,10
G.Skill Trident Z5 RGB 32 GB,125,"6,400",2x16,3.906,Black,10
Corsair Vengeance LPX 64 GB,140,"3,200",2x32,2.187,Black / Yellow,10
Kingston FURY Beast 32 GB,128,"6,000",2x16,4,Black,12
Kingston FURY Beast 16 GB,78,"6,000",2x8,4.874,Black,13.333
TEAMGROUP T-Create Expert 32 GB,93,"6,000",2x16,2.906,Black,10
G.Skill Ripjaws S5 32 GB,103,"6,000",2x16,3.218,Black,12
