Thermalright Peerless Assassin 120 SE,34,1550,25.6,Black,0,155
Cooler Master MASTERLIQUID ML240L RGB V2,90,1800,27,Black,1,240
Cooler Master Hyper 212 Black Edition,55,2000,26,Black,0,159
Corsair iCUE H150i ELITE CAPELLIX XT,190,2100,34.1,Black,1,360
NZXT Kraken Elite 360 RGB,283,1800,30.6,White,1,360
be quiet! Dark Rock Pro 4,92,1500,24.3,Black,0,163
Deepcool GAMMAXX AG400 ARGB,30,2000,31.6,Black,0,150
NZXT Kraken 240,128,1800,30.6,Black,1,240
Noctua NH-D15 chromax.black,120,1500,24.6,Black,0,165
NZXT Kraken Elite 360 RGB,277,1800,30.6,Black,1,360
Thermalright Phantom Spirit 120 SE,36,1500,25.6,Black / Silver,0,154
ARCTIC Liquid Freezer II 360,180,2000,26,Black,1,360
NZXT Kraken 240 RGB,173,1800,30.6,White,1,240
NZXT Kraken 360,180,1800,30.6,Black,1,360
Corsair iCUE H100i RGB ELITE,120,1850,28.9,Black,1,240
Deepcool LS720 SE WH,98,2250,32.9,White,1,360
Deepcool LS520 SE,86,2250,32.9,Black,1,240
Noctua NH-D15,110,1500,24.6,Brown,0,165
Deepcool AK620 ZERO DARK,64,1850,28,Black,0,160
Deepcool AK400,34,1850,29,Black / Silver,0,160
Thermalright Peerless Assassin 120 SE WHITE ARGB,37,1550,25.6,White,0,155
Corsair iCUE H150i ELITE LCD XT,250,2100,34.1,Black,1,360
Thermalright Assassin X 120 Refined SE,18,1550,25.6,Black / Silver,0,148
Cooler Master Hyper 212 RGB Black Edition,50,2000,30,Black,0,159
Deepcool LT720,100,2250,32.9,Black / Gray,1,360
ARCTIC Liquid Freezer II 240,75,1800,32,Black,1,240
Deepcool LS720 SE,107,2250,32.9,Black,1,360
Noctua NH-U12S chromax.black,90,1500,22.4,Black,0,158
ID-COOLING SE-214-XT,18,1500,30.5,Black,0,150
be quiet! Pure Rock 2 Black,35,1500,26.8,Black,0,155
AMD Wraith Prism,15,2800,42,Black,0,93
Thermalright Phantom Spirit 120 SE ARGB,36,1500,25.6,Black / Silver,0,155
Cooler Master MA621P TR4,105,1800,31,Black / Silver,0,165
Corsair iCUE H150i ELITE CAPELLIX XT,200,2100,25,White,1,360
Lian Li Galahad II Trinity SL-INF,220,2100,29,White,1,360
Deepcool AK620,55,1850,28,Black / Silver,0,160
Corsair iCUE H100i ELITE CAPELLIX XT,155,2100,34.1,Black,1,240
Noctua NH-U12A chromax.black,130,2000,22.6,Black,0,158
NZXT Kraken 360 RGB,220,1800,30.6,White,1,360
Deepcool AK620,65,1850,28,White,0,160
NZXT Kraken Elite 360,270,1800,30.6,Black,1,360
NZXT Kraken 240 RGB,161,1800,30.6,Black,1,240
Intel E97379-001,9,2000,22,Silver / Black,0,85
Asus ROG Ryujin III ARGB,340,2200,36.45,Black,1,360
ARCTIC Liquid Freezer II 280,136,1700,28,Black,1,280
Cooler Master Hyper 212 Black Edition,30,2000,26,Black,0,159
ARCTIC Liquid Freezer II 360 A-RGB,185,1800,22.5,Black / Gray,1,360
Lian Li Galahad II Trinity SL-INF,200,2100,29,Black,1,360
Deepcool AK620 DIGITAL,80,1850,28,Black,0,160
Asus ROG RYUJIN II,500,2000,29.7,Black,1,360
