name,price,type,color,side_panel,external_volume,internal_35_bays
Corsair 4000D Airflow,89.99,ATX Mid Tower,Black,Tinted Tempered Glass,48.6,2
NZXT H5 Flow,94.99,ATX Mid Tower,Black,Tempered Glass,47,1
NZXT H9 Flow,154.99,ATX Mid Tower,White,Tempered Glass,66.9,2
NZXT H9 Flow,159.99,ATX Mid Tower,Black,Tempered Glass,66.9,2
NZXT H5 Flow,85.99,ATX Mid Tower,White,Tempered Glass,47,1
Montech AIR 903 MAX,75,ATX Mid Tower,Black,Tempered Glass,54.2,2
Lian Li O11 Dynamic EVO,226.09,ATX Mid Tower,White / Gray,Tempered Glass,60.8,6
Cooler Master MasterBox Q300L,39.99,MicroATX Mini Tower,Black,Acrylic,33.6,1
NZXT H6 Flow,109.99,ATX Mid Tower,White,Tempered Glass,51.8,1
Montech X3 Mesh,59.9,ATX Mid Tower,Black,55.8,,2
Lian Li O11 Dynamic EVO,159,ATX Mid Tower,Black,Tinted Tempered Glass,60.8,6
Montech AIR 100 ARGB,64.99,MicroATX Mid Tower,Black,Acrylic,,2
NZXT H6 Flow,106.98,ATX Mid Tower,Black,Tempered Glass,51.8,1
Fractal Design North,139.99,ATX Mid Tower,Black,Tempered Glass,45.1,2
Silverstone ALTA F2,965.65,ATX Full Tower,Black,Tempered Glass,98.9,8
Asus Prime AP201,64.99,MicroATX Mini Tower,Black,Mesh,33,3
Lian Li LANCOOL 216,104.99,ATX Mid Tower,Black,Tempered Glass,55.6,2
Deepcool CH370,63.39,MicroATX Mid Tower,Black,Tempered Glass,38.3,2
Corsair iCUE 4000X RGB,124.99,ATX Mid Tower,Black,Tempered Glass,48.6,2
Cooler Master MasterBox Lite 5 RGB,,ATX Mid Tower,Black,Tempered Glass,42.7,2
NZXT H7 Flow,127.86,ATX Mid Tower,Black,Tempered Glass,55.8,2
NZXT H6 Flow RGB,123.99,ATX Mid Tower,White,Tempered Glass,51.8,1
Corsair 4000D Airflow,89.99,ATX Mid Tower,White,Tinted Tempered Glass,48.6,2
Lian Li O11 Dynamic Mini Snow Edition,127.9,ATX Mid Tower,White,Tempered Glass,43,2
Montech AIR 903 BASE,65,ATX Mid Tower,Black,Tempered Glass,54.2,2
Phanteks Eclipse G300A (1 Fan),,ATX Mid Tower,Black,Tempered Glass,37.2,1
Corsair 3000D AIRFLOW,74.98,ATX Mid Tower,Black,Tempered Glass,49.5,2
HYTE Y70 Touch,,ATX Mid Tower,White,Tempered Glass,70.7,2
Corsair 5000D AIRFLOW,149.99,ATX Mid Tower,Black,Tempered Glass,,2
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,Tempered Glass,46.2,2
Lian Li PC-O11 Dynamic,119.99,ATX Full Tower,White,Tempered Glass,54,3
Fractal Design Terra,189.96,Mini ITX Desktop,Black / Brown,Mesh,11.4,0
Cooler Master MasterBox NR200,,Mini ITX Desktop,Black,Mesh,54,2
Fractal Design Pop Air RGB,89.99,ATX Mid Tower,Black,Tempered Glass,46.2,2
Cooler Master MasterBox NR200P,109.99,Mini ITX Desktop,Black,Tempered Glass,20.3,2
Deepcool CC560,,ATX Mid Tower,Black,Tempered Glass,41.7,2
NZXT H6 Flow RGB,134.99,ATX Mid Tower,Black,Tempered Glass,51.8,1
Lian Li O11 Dynamic EVO XL,234.99,ATX Full Tower,Black,Tempered Glass,84.4,4
Fractal Design Pop Mini Air,89.99,MicroATX Mid Tower,Black,Tempered Glass,36.5,2
NZXT H5 Flow RGB,119.99,ATX Mid Tower,Black,Tempered Glass,47,1
MagniumGear NEO AIR (2023),,ATX Mid Tower,White / Black,Tempered Glass,41.4,2
Montech AIR 903 MAX,79,ATX Mid Tower,White,Tempered Glass,54.2,2
Lian Li O11 Vision,132.99,ATX Mid Tower,White,Tempered Glass,67.8,2
Phanteks NV5,99.99,ATX Mid Tower,Black,Tempered Glass,60.2,3
HYTE Y60,179.99,ATX Mid Tower,Black,37,,2
NZXT H5 Flow RGB,113.99,ATX Mid Tower,White,Tempered Glass,47,1
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,White,47,,2
Lian Li O11 Dynamic Mini,119.99,ATX Mid Tower,Black,Tempered Glass,43,2
NZXT H9 Elite,239.99,ATX Mid Tower,White,Tempered Glass,66.9,2
Fractal Design Terra,159.99,Mini ITX Desktop,Green / Brown,Mesh,11.4,0
