name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),78.99,ATX,gold,750,Full,Black
Corsair RM850e (2023),119,ATX,gold,850,Full,Black
Corsair RM850x (2021),134.99,ATX,gold,850,Full,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair CX650M (2021),69.98,ATX,bronze,650,Semi,Black
Corsair RM650 (2023),89.99,ATX,gold,650,Full,Black
Thermaltake Smart,39.95,ATX,plus,500,FALSE,
Corsair RM850,139.99,ATX,gold,850,Full,White / Black
Corsair SF750,169.99,SFX,platinum,750,Full,
Cooler Master MWE Gold 850 - V2,95.99,ATX,gold,850,Full,Black
MSI MAG A650BN,67.98,ATX,bronze,650,FALSE,Black
Corsair RM1000x (2021),174.99,ATX,gold,1000,Full,Black
Gigabyte UD750GM,84.99,ATX,gold,750,Full,Black
MSI MAG A550BN,59.99,ATX,bronze,550,FALSE,Black
Asus ROG THOR 1600T Gaming,631.99,ATX,titanium,1600,Full,Silver / Black
Thermaltake Smart,44.99,ATX,plus,600,FALSE,
Thermaltake Toughpower GX2,64.98,ATX,gold,600,FALSE,Black
Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black
Corsair SF850L,128.99,SFX,gold,850,Full,Black
MSI MAG A850GL PCIE5,99.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 (2024),79.99,ATX,gold,750,Full,Black
MSI MAG A750GL PCIE5,93.99,ATX,gold,750,Full,Black
Silverstone HELA,623.11,ATX,,2050,Full,Black / White
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair HX1500i (2023),359.99,ATX,platinum,1500,Full,Black
Corsair RM750,129.99,ATX,gold,750,Full,White / Black
Apevia Prestige,51.99,ATX,gold,600,FALSE,Black
Corsair CX750M (2021),79.98,ATX,bronze,750,Semi,Black
SeaSonic FOCUS PLUS 850 Gold,119.99,ATX,gold,850,Full,
be quiet! Pure Power 12 M,94.9,ATX,gold,750,Full,Black
Corsair AX1600i,609.99,ATX,titanium,1600,Full,
Asus TUF Gaming B,50.99,ATX,bronze,450,FALSE,Black
be quiet! Pure Power 12 M,109.9,ATX,gold,850,Full,Black
be quiet! Dark Power 13,249.9,ATX,titanium,1000,Full,Black
Corsair AX1200,799,ATX,gold,1200,Full,
be quiet! Pure Power 12 M,129.9,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,139.99,ATX,gold,1050,Full,White
Asus ROG Strix,162.99,ATX,gold,850,Full,White
Corsair CV650,,ATX,bronze,650,FALSE,Black
EVGA 500 BR,59.99,ATX,bronze,500,FALSE,
NZXT C850 (2022),114.99,ATX,gold,850,Full,Black
Corsair SF1000L,159.96,SFX,gold,1000,Full,Black
MSI A1000G PCIE5,159.99,ATX,gold,1000,Full,Black
Corsair HX1200 Platinum,429,ATX,platinum,1200,Full,
EVGA SuperNOVA 850 GT,124.99,ATX,gold,850,Full,Black
Corsair CX (2023),59.99,ATX,bronze,550,FALSE,Black
Thermaltake Smart,54.99,ATX,plus,700,FALSE,
Corsair CV550,,ATX,bronze,550,FALSE,Black
MSI MPG A850G PCIE5,129,ATX,gold,850,Full,Black
Thermaltake Smart BM3,69.98,ATX,bronze,750,Semi,Black
